t,x0_constr,x1_constr,x2_constr,x0_un,x1_un,x2_un
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000000e+00,8.000000000000000444e-01,1.100000000000000089e+00,1.000000000000000000e+00,8.000000000000000444e-01,1.100000000000000089e+00
2.000000000000000111e-01,1.010000000000000009e+00,6.477363249983597582e-01,1.158238352147406891e+00,1.010000000000000009e+00,7.092753456073517260e-01,1.127187909299975033e+00
3.000000000000000444e-01,1.025024632032228933e+00,5.344232980496410601e-01,1.185259392638710274e+00,1.022220034718788639e+00,6.573639888898069605e-01,1.128660028912282787e+00
4.000000000000000222e-01,1.041553561122599891e+00,4.520118665890768828e-01,1.189800930756459652e+00,1.033981139869166288e+00,6.251934838045306586e-01,1.118176680548966795e+00
5.000000000000000000e-01,1.057222958406276447e+00,3.934062244270883357e-01,1.178908106156240310e+00,1.044113944750178158e+00,6.045141486539088449e-01,1.101879630518404873e+00
6.000000000000000888e-01,1.070561546692556210e+00,3.525960265556656315e-01,1.158076487477191163e+00,1.052120013870159188e+00,5.909807363863769369e-01,1.082976149616183603e+00
7.000000000000000666e-01,1.080763020684377018e+00,3.246927649059856424e-01,1.131430035780029097e+00,1.057844727250991657e+00,5.820398880724882984e-01,1.063262218295968120e+00
8.000000000000000444e-01,1.087495549418716623e+00,3.058743789728655127e-01,1.101929750527370189e+00,1.061319370227806980e+00,5.760898607584810094e-01,1.043765698478997583e+00
9.000000000000000222e-01,1.090748078567667534e+00,2.932601646060410960e-01,1.071597549709408126e+00,1.062675584309100696e+00,5.720858619221755870e-01,1.025064723543886780e+00
1.000000000000000000e+00,1.090711590349143334e+00,2.847488447918433696e-01,1.041734199965693053e+00,1.062095899284862588e+00,5.693313286029140219e-01,1.007463053119076690e+00
1.100000000000000089e+00,1.087691635949222357e+00,2.788513148736467273e-01,1.013112888448801208e+00,1.059784167584373105e+00,5.673572565719405825e-01,9.910939980363341339e-01
1.200000000000000178e+00,1.082047053206639076e+00,2.745396181362022014e-01,9.861381988844056812e-01,1.055947748260449348e+00,5.658475949083762169e-01,9.759851244684858429e-01
1.300000000000000044e+00,1.074149270968387082e+00,2.711221472358066320e-01,9.609686562397291576e-01,1.050786942479681851e+00,5.645908041857761184e-01,9.620997998193673295e-01
1.400000000000000133e+00,1.064356926053137364e+00,2.681465191124804415e-01,9.376065681465987067e-01,1.044489023132850747e+00,5.634473146457402715e-01,9.493642994527852208e-01
1.500000000000000000e+00,1.053001339322913399e+00,2.653270059625232324e-01,9.159612798704113157e-01,1.037225207328285270e+00,5.623271795972772935e-01,9.376855549989896454e-01
1.600000000000000089e+00,1.040379370291717231e+00,2.624918111125200126e-01,8.958921799836665478e-01,1.029149508825894843e+00,5.611745331867100672e-01,9.269626820632727027e-01
1.700000000000000178e+00,1.026751076493916059e+00,2.595455184400108362e-01,8.772369571555710399e-01,1.020398770727161786e+00,5.599567170941339711e-01,9.170943149188995891e-01
1.800000000000000044e+00,1.012340350677332967e+00,2.564427543123545816e-01,8.598294563397925749e-01,1.011093412671819625e+00,5.586566674206898675e-01,9.079831018295039247e-01
1.900000000000000133e+00,9.973372805580884570e-01,2.531699575699545846e-01,8.435103867196842575e-01,1.001338582044956516e+00,5.572676001182499395e-01,8.995382841247183681e-01
2.000000000000000000e+00,9.819013935665095172e-01,2.497329288760404276e-01,8.281332301779049665e-01,9.912255037377262212e-01,5.557893233374330277e-01,8.916769959611686724e-01
2.100000000000000089e+00,9.661652447372617303e-01,2.461484566514464400e-01,8.135670065356024327e-01,9.808328947898391492e-01,5.542257012079578882e-01,8.843247260227641293e-01
2.200000000000000178e+00,9.502380104427494700e-01,2.424387932190593398e-01,7.996970426991663050e-01,9.702283594208607198e-01,5.525829301584114228e-01,8.774152462423783216e-01
2.300000000000000266e+00,9.342088893851571152e-01,2.386281061470583997e-01,7.864245279227549679e-01,9.594697135162684187e-01,5.508683857686601515e-01,8.708902169971393104e-01
2.400000000000000355e+00,9.181502044985062616e-01,2.347402844646101494e-01,7.736653800567654393e-01,9.486062103115028288e-01,5.490898675477495772e-01,8.646986108909257007e-01
2.500000000000000000e+00,9.021201593384524653e-01,2.307976622965309255e-01,7.613487683027129194e-01,9.376796540993669327e-01,5.472551189319658782e-01,8.587960499181412910e-01
2.600000000000000089e+00,8.861652402862811861e-01,2.268203531043649912e-01,7.494155142281990756e-01,9.267253985826086060e-01,5.453715356774698764e-01,8.531441177380837404e-01
2.700000000000000178e+00,8.703222786046493908e-01,2.228259807688895144e-01,7.378165082401112462e-01,9.157732326369089071e-01,5.434460015565502067e-01,8.477096858835216908e-01
2.800000000000000266e+00,8.546201990401015580e-01,2.188296598638445611e-01,7.265112216329051575e-01,9.048481598945503634e-01,5.414848086537189520e-01,8.424642770412891224e-01
2.900000000000000355e+00,8.390814877253990334e-01,2.148441243184330274e-01,7.154663563927119441e-01,8.939710805200107302e-01,5.394936326343493516e-01,8.373834779607843837e-01
3.000000000000000000e+00,8.237234139705928992e-01,2.108799367318349161e-01,7.046546502675133938e-01,8.831593843964795632e-01,5.374775426104866360e-01,8.324464075465382029e-01
